POLY_ID,MUNIC_RES,Localidade,txsuav10k,IPDM,tx_remedio10k,cob_esf,tx_apac_densito10k,tx_quedas_100k,taxa%_plano_idoso,tx%alfabet_2022
179,411290,JUNDIAI DO SUL,30.2960735,0.7233,0.0,1.0,22.44333059,327.7333333,0.1772525849,0.8244
180,411295,JURANDA,26.75332336,0.7604,22.81089036,1.0,182.1192053,940.1714286,0.1197183099,0.804
181,411300,JUSSARA,28.70558098,0.7941,86.08142388,0.7866,503.18127,689.175,0.01517571885,0.7266
182,411310,KALORE,38.37048643,0.7682,26.992658,1.0,7.198042133,724.2,0.1586073501,0.7287
183,411320,LAPA,19.30930391,0.6846,15.76044129,1.0,65.44009319,69.74285714,0.01661173368,0.7829
184,411325,LARANJAL,23.63410399,0.6404,83.61504711,1.0,7.192692225,1122.842857,0.04584527221,0.7416
185,411330,LARANJEIRAS DO SUL,25.08308081,0.7515,4.327422395,1.0,59.62226411,294.3142857,0.08929233049,0.8716
186,411340,LEOPOLIS,23.61615759,0.6902,0.0,1.0,2.796264191,1156.314286,0.004390779363,0.5229
187,411342,LIDIANOPOLIS,33.63203408,0.741,29.96732595,0.6057,0.0,854.0142857,0.451536643,0.8319
188,411345,LINDOESTE,22.43259125,0.732,41.41774185,0.7303,12.55083087,103.6,0.04325955734,0.7652
189,411350,LOANDA,31.06482609,0.7345,18.73160289,0.6126,72.25046829,1125.514286,0.003359173127,0.7037
190,411360,LOBATO,27.31957012,0.7523,170.5260508,1.0,0.0,1111.214286,0.03033838973,0.7307
191,411370,LONDRINA,17.93915914,0.8006,41.43812948,1.0,66.88173154,536.0714286,0.00509005848,0.7831
192,411373,LUIZIANA,28.69869318,0.7008,0.0,1.0,117.5406872,1172.414286,0.1647577093,0.8358
193,411375,LUNARDELLI,39.37511919,0.7374,7.176003444,1.0,23.92001148,431.8428571,31.97353497,0.8943
194,411380,LUPIONOPOLIS,25.51497653,0.6548,0.0,1.0,10.5374078,1363.457143,0.04329896907,0.5977
195,411390,MALLET,28.91436382,0.7948,47.36308763,0.9186,2.202934308,277.1285714,0.01628106255,0.6587
196,411400,MAMBORE,28.34411781,0.7233,52.55613951,1.0,192.1518935,989.7,0.05032467532,0.7418
197,411410,MANDAGUACU,19.92488166,0.7465,173.2546547,0.7899,2.020855226,603.9142857,0.01748606183,0.9109
198,411420,MANDAGUARI,26.33485806,0.8109,41.83418853,1.0,0.3702140578,1043.771429,0.04924081169,0.7598
199,411430,MANDIRITUBA,18.33821421,0.6556,17.88644127,1.0,21.51752333,137.9571429,0.3161503301,0.7961
200,411435,MANFRINOPOLIS,33.58347633,0.5877,67.10671067,1.0,77.00770077,867.9428571,3.231818182,0.8041
201,411440,MANGUEIRINHA,22.7515781,0.716,53.60824742,0.9418,24.74226804,577.8666667,0.06746506986,0.8566
202,411450,MANOEL RIBAS,29.68555169,0.6972,0.0,1.0,8.065445328,602.7142857,0.0004484304933,0.7567
203,411460,MARECHAL CANDIDO RONDON,18.80647016,0.8191,67.62028609,0.9846,0.2766787483,263.2571429,0.0282998944,0.7571
204,411470,MARIA HELENA,34.5876446,0.7269,31.73873045,1.0,87.39650414,379.1857143,0.06451612903,0.7335
205,411480,MARIALVA,19.65206224,0.7921,75.49923195,1.0,0.3840245776,533.3857143,0.5539705882,0.8981
206,411490,MARILANDIA DO SUL,22.71109045,0.7055,0.0,1.0,1.617599482,771.9571429,0.01388012618,0.7294
207,411500,MARILENA,32.66848571,0.7014,35.29069344,0.8028,18.19107909,1198.928571,1.330995792,0.8399
208,411510,MARILUZ,31.12087202,0.6632,63.46628166,1.0,28.57486615,627.3714286,0.0329144225,0.7318
209,411520,MARINGA,18.23302942,0.8345,83.51582396,1.0,110.9464643,595.5142857,0.0003770739065,0.6592
210,411530,MARIOPOLIS,22.98339594,0.7536,30.16810919,1.0,20.80559254,622.5714286,0.04089815557,0.6169
211,411535,MARIPA,16.43310041,0.8056,46.54148612,1.0,0.0,143.3,25.73233909,0.9194
212,411540,MARMELEIRO,31.01339642,0.7893,14.23284942,1.0,141.6815465,911.6285714,0.06141672946,0.8144
213,411545,MARQUINHO,24.61677083,0.7396,57.39072406,1.0,56.72339006,326.94,0.2741721854,0.9055
214,411550,MARUMBI,34.06138925,0.7711,32.19530907,0.8046,2.740026304,702.1428571,0.1102863203,0.8352
215,411560,MATELANDIA,23.4118234,0.7833,66.2456549,1.0,138.3151036,1206.728571,0.002092779909,0.7737
216,411570,MATINHOS,15.97718667,0.6518,13.90103361,1.0,16.44208276,466.8285714,0.01031920748,0.7447
217,411573,MATO RICO,36.49832095,0.7174,0.0,0.7535,20.77619879,321.8166667,0.583747927,0.8207
218,411575,MAUA DA SERRA,23.31327823,0.708,30.22820163,1.0,0.0,889.0142857,0.8603351955,0.9271
219,411580,MEDIANEIRA,21.24784926,0.8203,140.4468506,1.0,160.1462575,489.0285714,0.0002660989888,0.5855
220,411585,MERCEDES,24.40725175,0.7984,23.38445659,1.0,0.0,221.025,0.06766917293,0.6338
221,411590,MIRADOR,26.31489256,0.7372,95.04412763,1.0,101.8329939,1014.157143,3.767567568,0.862
222,411600,MIRASELVA,32.56535057,0.6896,58.97490886,1.0,16.08406605,807.2142857,0.6602972399,0.9043
223,411605,MISSAL,19.64187764,0.7263,108.3150271,1.0,106.5750266,226.4571429,0.002545608825,0.6627
224,411610,MOREIRA SALES,29.50939089,0.7016,30.0757678,1.0,107.0003277,1126.142857,0.01661004153,0.7373
225,411620,MORRETES,20.79444547,0.6111,20.70772783,0.8732,4.581355715,499.5285714,0.03769481696,0.8766
226,411630,MUNHOZ DE MELO,31.37385815,0.7355,0.0,1.0,8.949346698,793.9857143,0.1602787456,0.6733
227,411640,NOSSA SENHORA DAS GRACAS,27.96080762,0.7096,62.78216704,1.0,0.0,1157.185714,0.3538873995,0.8995
228,411650,NOVA ALIANCA DO IVAI,26.82054747,0.7518,48.61448712,1.0,72.92173068,1668.8,0.2336448598,0.7961
229,411660,NOVA AMERICA DA COLINA,20.0673599,0.6733,18.75,1.0,0.0,1047.485714,0.05528455285,0.7388
230,411670,NOVA AURORA,19.9474135,0.7924,51.25065197,0.8776,0.0,172.35,0.005449591281,0.7107
231,411680,NOVA CANTU,27.63935663,0.7376,0.0,1.0,303.4580099,900.5428571,0.02068965517,0.6689
232,411690,NOVA ESPERANCA,20.20336166,0.7589,50.47420949,0.8588,0.9541438467,546.4571429,0.07586079912,0.8191
233,411695,NOVA ESPERANCA DO SUDOESTE,28.99125713,0.6967,27.05627706,1.0,48.41649578,1076.128571,0.1209766926,0.6197
234,411700,NOVA FATIMA,19.94071459,0.7401,0.0,1.0,1.622165266,1128.314286,1.098852041,0.8015
235,411705,NOVA LARANJEIRAS,20.88532676,0.5982,0.0,1.0,33.67931172,254.8428571,0.007334963325,0.7512
236,411710,NOVA LONDRINA,31.34601249,0.7864,38.86010363,0.8228,20.1000536,859.6142857,0.05128205128,0.6976
237,411720,NOVA OLIMPIA,29.9605178,0.742,20.96344499,1.0,43.67384373,521.7571429,0.01649305556,0.717
238,411721,NOVA SANTA BARBARA,18.59753846,0.6816,43.05396096,1.0,0.0,1149.385714,0.3822222222,0.7973
239,411722,NOVA SANTA ROSA,17.81258415,0.7698,29.2371221,1.0,0.0,418.8285714,0.01347393087,0.7395
240,411725,NOVA PRATA DO IGUACU,26.76870561,0.728,21.5285253,1.0,24.21959096,959.3857143,0.02572178478,0.7799
241,411727,NOVA TEBAS,37.20841061,0.6776,0.0,1.0,16.69588446,537.3714286,0.02724077329,0.5657
242,411729,NOVO ITACOLOMI,31.17740112,0.7147,0.0,1.0,0.0,791.0428571,0.744149766,0.9153
243,411730,ORTIGUEIRA,21.30629663,0.7515,7.683479079,0.5834,4.321956982,288.6428571,0.003781268179,0.6431
244,411740,OURIZONA,25.17058618,0.7785,105.2096938,0.8074,0.0,712.0714286,0.01865136298,0.7248
245,411745,OURO VERDE DO OESTE,17.32018563,0.754,28.3452253,0.7588,0.0,#DIV/0!,0.08798486282,0.6322
